,0,1,2
417,33889,https://upload.wikimedia.org/wikipedia/commons/6/63/Bled_Island_-_panoramio.jpg,29
159,33631,https://upload.wikimedia.org/wikipedia/commons/9/96/Bled1a.jpg,29
485,33957,https://upload.wikimedia.org/wikipedia/commons/2/22/Bled_%2814500053717%29.jpg,29
434,33906,https://upload.wikimedia.org/wikipedia/commons/a/a4/Bled%2C_Slovenia_%283551197788%29.jpg,29
455,33927,https://upload.wikimedia.org/wikipedia/commons/1/17/Lake_Bled_%2814320317621%29.jpg,29
81,33553,https://upload.wikimedia.org/wikipedia/commons/8/8a/The_island_in_Lake_Bled_%28186771616%29.jpg,29
373,33845,https://upload.wikimedia.org/wikipedia/commons/f/f4/Bled_IMG_5089_%2814299979685%29.jpg,29
424,33896,https://upload.wikimedia.org/wikipedia/commons/d/d6/Jezero_Bled_11.jpg,29
207,33679,https://upload.wikimedia.org/wikipedia/commons/9/9b/Bled_%28186776376%29.jpg,29
317,33789,https://upload.wikimedia.org/wikipedia/commons/e/e8/Bled_und_See_01092008_29.jpg,29
359,33831,https://upload.wikimedia.org/wikipedia/commons/5/52/Bled_%2818582958599%29.jpg,29
119,33591,https://upload.wikimedia.org/wikipedia/commons/8/8d/Lake_Bled_dawn_%2814180256075%29.jpg,29
156,33628,https://upload.wikimedia.org/wikipedia/commons/f/fc/Walking_around_%288310515784%29.jpg,29
482,33954,https://upload.wikimedia.org/wikipedia/commons/2/22/Bled_lakua_%282750438843%29.jpg,29
15,33487,https://upload.wikimedia.org/wikipedia/commons/d/d7/Slovenia_%285_of_29%29_%2840113814815%29.jpg,29
217,33689,https://upload.wikimedia.org/wikipedia/commons/e/e2/Bled_-_panoramio_-_Halina_Frederiksen_%2811%29.jpg,29
468,33940,https://upload.wikimedia.org/wikipedia/commons/7/7b/Lake_view_%289566290483%29.jpg,29
188,33660,https://upload.wikimedia.org/wikipedia/commons/7/70/Bled_%2835642538632%29.jpg,29
415,33887,https://upload.wikimedia.org/wikipedia/commons/5/50/Lake_Bled_-_panoramio_%284%29.jpg,29
443,33915,https://upload.wikimedia.org/wikipedia/commons/5/5b/Bled_%288898299678%29.jpg,29
46,33518,https://upload.wikimedia.org/wikipedia/commons/5/54/Bled_-_panoramio_-_Halina_Frederiksen_%2813%29.jpg,29
355,33827,https://upload.wikimedia.org/wikipedia/commons/5/5d/Bled_-_panoramio_-_Halina_Frederiksen_%288%29.jpg,29
199,33671,https://upload.wikimedia.org/wikipedia/commons/4/40/3.4.13_2_Bled_39_%288616693207%29.jpg,29
182,33654,https://upload.wikimedia.org/wikipedia/commons/b/b8/Los_Pletna_%288043680243%29.jpg,29
233,33705,https://upload.wikimedia.org/wikipedia/commons/8/84/Water_lilies_%287566229092%29.jpg,29
284,33756,https://upload.wikimedia.org/wikipedia/commons/5/5b/Bled_view_%281621102840%29.jpg,29
399,33871,https://upload.wikimedia.org/wikipedia/commons/2/25/Lake_Bled%2C_Slovenia_%282893417356%29.jpg,29
259,33731,https://upload.wikimedia.org/wikipedia/commons/9/9c/Bled_Island_-_panoramio_-_lienyuan_lee_%281%29.jpg,29
135,33607,https://upload.wikimedia.org/wikipedia/commons/d/d8/Bled_%284813342930%29.jpg,29
25,33497,https://upload.wikimedia.org/wikipedia/commons/c/cb/Lake_Bled%2C_Slovenia_%282892595655%29.jpg,29
